Type,transaction,ville,ville_secteur,surface_totale,surface_habitable,chambres,salle_bains,salons,pieces,etage,terrasse,balcon,parking,ascenseur,securite,climatisation,cuisine_equipee,concierge,duplex,chauffage,meuble,garage,jardin,piscine,prix
1,louer,4,"C.I.L, Casablanca",450,400,4,4,3,7,2,1,1,1,0,1,1,1,0,0,1,0,1,1,0,30000
1,louer,4,"Hay Hana, Casablanca",240,240,5,4,1,6,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,11000
1,louer,4,"Oasis, Casablanca",400,400,4,3,2,6,3,1,1,1,0,1,1,1,0,0,1,1,1,1,1,40000
1,louer,4,"Bourgogne, Casablanca",356,356,4,3,3,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45000
1,louer,4,"C.I.L, Casablanca",400,450,5,5,4,9,2,1,1,1,0,1,1,1,0,0,1,0,1,1,0,36000
1,louer,4,"Longchamps, Casablanca",1500,600,4,4,5,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60000
1,louer,4,"Sidi Bernoussi, Casablanca",120,120,2,1,2,4,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,7500
1,louer,4,"Californie, Casablanca",400,500,4,4,3,7,3,1,1,1,0,1,1,0,0,0,0,0,1,1,1,30000
1,louer,4,"Sidi Maarouf, Casablanca",450,40,4,4,4,8,2,1,1,1,0,1,1,1,0,0,1,1,1,1,1,30000
1,louer,4,"Polo, Casablanca",495,480,5,4,2,7,1,1,1,0,0,1,1,0,0,0,0,0,1,1,0,30000
1,louer,4,"Californie, Casablanca",850,600,5,4,3,8,3,1,1,1,0,1,1,1,0,0,1,1,1,1,1,35000
1,louer,4,"C.I.L, Casablanca",240,140,3,2,1,4,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,20000
1,louer,4,"Californie, Casablanca",800,600,4,4,3,7,3,1,1,1,0,1,1,1,0,0,1,1,1,1,1,35000
1,louer,4,"Californie, Casablanca",500,450,4,4,3,7,2,1,1,1,0,1,1,1,0,0,1,0,1,1,1,30000
1,louer,4,"C.I.L, Casablanca",274,150,5,2,1,6,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,14000
1,louer,4,"Bourgogne, Casablanca",380,440,4,3,2,6,2,1,0,0,0,1,1,1,0,0,0,0,1,1,1,30000
1,louer,4,"Hermitage, Casablanca",350,160,4,3,4,8,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,25000
1,louer,4,"Laimoune, Casablanca",600,600,2,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22000
